start
start
start
RANK=2 LOCAL_RANK=2 WORLD=3
RANK=1 LOCAL_RANK=1 WORLD=3
RANK=0 LOCAL_RANK=0 WORLD=3
total desired batch size : 491520
calculated gradient accumulation steps : 10
found 99 shards for split train
found 1 shards for split val
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: True
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
validation loss : 10.9824
HellaSwag accuracy : 2435/10042=0.2425
step : 0 | loss : 10.981745 | tok/sec : 8204.954470215296 | lr : 7.874016e-07 | dt : 59.91s
step : 1 | loss : 10.963848 | tok/sec : 117513.7055951451 | lr : 1.574803e-06 | dt : 4.18s
step : 2 | loss : 10.926363 | tok/sec : 119630.5850708992 | lr : 2.362205e-06 | dt : 4.11s
step : 3 | loss : 10.867167 | tok/sec : 119557.19092047386 | lr : 3.149606e-06 | dt : 4.11s
step : 4 | loss : 10.790970 | tok/sec : 118977.99467919154 | lr : 3.937008e-06 | dt : 4.13s
step : 5 | loss : 10.702154 | tok/sec : 119078.40503266046 | lr : 4.724409e-06 | dt : 4.13s
step : 6 | loss : 10.607594 | tok/sec : 119527.59235585773 | lr : 5.511811e-06 | dt : 4.11s
step : 7 | loss : 10.521153 | tok/sec : 118870.87847032264 | lr : 6.299213e-06 | dt : 4.13s
step : 8 | loss : 10.415169 | tok/sec : 119313.37466351705 | lr : 7.086614e-06 | dt : 4.12s
step : 9 | loss : 10.343400 | tok/sec : 118081.66140375627 | lr : 7.874016e-06 | dt : 4.16s
step : 10 | loss : 10.261468 | tok/sec : 118199.94956167472 | lr : 8.661417e-06 | dt : 4.16s
step : 11 | loss : 10.191681 | tok/sec : 118376.70527145543 | lr : 9.448819e-06 | dt : 4.15s
step : 12 | loss : 10.118868 | tok/sec : 118675.07856642453 | lr : 1.023622e-05 | dt : 4.14s
step : 13 | loss : 10.055435 | tok/sec : 118463.13381965493 | lr : 1.102362e-05 | dt : 4.15s
step : 14 | loss : 10.002633 | tok/sec : 118684.397504569 | lr : 1.181102e-05 | dt : 4.14s
step : 15 | loss : 9.922133 | tok/sec : 118308.39186131231 | lr : 1.259843e-05 | dt : 4.15s
step : 16 | loss : 9.879997 | tok/sec : 117335.68238395867 | lr : 1.338583e-05 | dt : 4.19s
step : 17 | loss : 9.842185 | tok/sec : 118005.66965464762 | lr : 1.417323e-05 | dt : 4.17s
step : 18 | loss : 9.791901 | tok/sec : 117781.90026911907 | lr : 1.496063e-05 | dt : 4.17s
step : 19 | loss : 9.761919 | tok/sec : 117383.04321842431 | lr : 1.574803e-05 | dt : 4.19s
step : 20 | loss : 9.853460 | tok/sec : 117740.36282309456 | lr : 1.653543e-05 | dt : 4.17s
step : 21 | loss : 9.689358 | tok/sec : 117314.50297246235 | lr : 1.732283e-05 | dt : 4.19s
step : 22 | loss : 9.658890 | tok/sec : 117695.00445983885 | lr : 1.811024e-05 | dt : 4.18s
step : 23 | loss : 9.625624 | tok/sec : 117264.66939114567 | lr : 1.889764e-05 | dt : 4.19s
step : 24 | loss : 9.599301 | tok/sec : 116512.98783148892 | lr : 1.968504e-05 | dt : 4.22s
step : 25 | loss : 9.596807 | tok/sec : 116382.20770757992 | lr : 2.047244e-05 | dt : 4.22s
step : 26 | loss : 9.550275 | tok/sec : 116313.00657870833 | lr : 2.125984e-05 | dt : 4.23s
step : 27 | loss : 9.533971 | tok/sec : 116989.19533224538 | lr : 2.204724e-05 | dt : 4.20s
step : 28 | loss : 9.518338 | tok/sec : 115772.58499811508 | lr : 2.283465e-05 | dt : 4.25s
step : 29 | loss : 9.476991 | tok/sec : 116983.35346889266 | lr : 2.362205e-05 | dt : 4.20s
step : 30 | loss : 9.471232 | tok/sec : 116201.01745880599 | lr : 2.440945e-05 | dt : 4.23s
step : 31 | loss : 9.431309 | tok/sec : 115769.73093103697 | lr : 2.519685e-05 | dt : 4.25s
step : 32 | loss : 9.462381 | tok/sec : 117207.28781089504 | lr : 2.598425e-05 | dt : 4.19s
step : 33 | loss : 9.404307 | tok/sec : 116054.8755313804 | lr : 2.677165e-05 | dt : 4.24s
step : 34 | loss : 9.390179 | tok/sec : 115837.96148807963 | lr : 2.755906e-05 | dt : 4.24s
step : 35 | loss : 9.359799 | tok/sec : 115437.38773550167 | lr : 2.834646e-05 | dt : 4.26s
step : 36 | loss : 9.316948 | tok/sec : 115861.92532558876 | lr : 2.913386e-05 | dt : 4.24s
step : 37 | loss : 9.252598 | tok/sec : 116441.7501346382 | lr : 2.992126e-05 | dt : 4.22s
step : 38 | loss : 9.280548 | tok/sec : 115132.43553698917 | lr : 3.070866e-05 | dt : 4.27s
step : 39 | loss : 9.237003 | tok/sec : 110822.27312856035 | lr : 3.149606e-05 | dt : 4.44s
